sales_date,product_code,customer_code,promotion_code,channel_code,quantity,unit_price,region
2018-01-15,25,1629,4,1,4,12900,광명
2018-01-15,6,2158,4,2,3,28000,대전
2018-01-15,8,1774,4,1,4,2000,서울
2018-01-15,1,1016,2,1,8,15000,서울
2018-01-16,1,1101,1,1,1,15000,남양주
2018-01-16,33,1650,2,1,1,21000,수원
2018-01-16,12,2018,4,2,2,32000,울산
2018-01-17,3,1790,1,2,1,7800,대전
2018-01-17,18,1540,3,1,1,500,대전
2018-01-17,25,1070,2,2,10,12900,서울
2018-01-17,27,1153,1,1,11,12000,서울
2018-01-18,31,1113,2,2,5,8000,서울
2018-01-18,40,1467,4,2,3,35900,인천
2018-01-18,41,1064,1,1,10,14800,인천
2018-01-18,12,1633,1,1,4,32000,서울
2018-01-19,25,1127,1,2,9,12900,양산
2018-01-19,7,2185,3,1,1,22000,광명
2018-01-19,32,1535,2,1,2,9900,남양주
2018-01-19,3,1904,3,1,4,7800,대구
2018-01-19,18,1040,2,1,7,500,서울
2018-01-19,19,1450,2,1,1,32000,창원
2018-01-19,11,1745,1,2,3,21500,서울
2018-01-20,7,1429,3,2,1,22000,서울
2018-01-20,3,1655,3,2,1,7800,수원
2018-01-20,7,2190,2,2,2,22000,서울
2018-01-20,41,1034,4,1,10,14800,김포
2018-01-21,5,1620,2,2,5,7200,오산
2018-01-21,16,2051,4,1,1,50000,서울
2018-01-21,16,1993,2,2,6,50000,구리
2018-01-21,12,1032,1,1,9,32000,인천
2018-01-21,27,2046,1,2,3,12000,서울
2018-01-22,9,1589,2,1,2,25000,서울
2018-01-22,25,2166,4,1,1,12900,서울
2018-01-22,35,1074,1,1,8,11900,고양
2018-01-23,25,1657,4,1,2,12900,부산
2018-01-23,14,1814,3,2,5,10000,세종
2018-01-23,2,1527,1,1,4,6500,대전
2018-01-24,6,1686,2,2,1,28000,인천
2018-01-24,41,2190,2,2,1,14800,서울
2018-01-24,12,1163,1,2,9,32000,대전
2018-01-25,12,2096,2,1,1,32000,대전
2018-01-25,40,1612,2,1,1,35900,안산
2018-01-25,23,1369,3,1,1,43000,서울
2018-01-26,3,1971,1,1,1,7800,인천
2018-01-26,25,1701,1,1,1,12900,서울
2018-01-26,25,1880,3,1,1,12900,울산
2018-01-26,41,2191,3,1,1,14800,서울
2018-01-26,16,1078,4,1,10,50000,제주
2018-01-26,13,1228,2,1,15,3300,서울
2018-01-26,12,1723,2,1,5,32000,서울
2018-01-27,9,2055,4,2,1,25000,고양
2018-01-27,13,2109,4,2,1,3300,부산
2018-01-27,19,1994,4,1,1,32000,양산
2018-01-27,14,1275,3,2,8,10000,창원
2018-01-27,41,1699,1,2,5,14800,청주
2018-01-28,3,2136,2,1,1,7800,부산
2018-01-28,4,1475,3,1,1,20000,서울
2018-01-28,25,1043,1,2,7,12900,고양
2018-01-29,16,1512,1,1,1,50000,서울
2018-01-29,14,1475,2,2,1,10000,서울
2018-01-29,25,1734,1,1,2,12900,부산
2018-01-29,25,2150,4,1,3,12900,동해
2018-01-29,5,1553,1,1,4,7200,성남
2018-01-30,9,1310,2,1,1,25000,광주
2018-01-30,41,1753,2,2,2,14800,인천
2018-01-30,14,1235,3,2,15,10000,대구
2018-01-30,3,1716,1,1,1,7800,서울
2018-01-30,33,1232,1,1,11,21000,용인
2018-01-30,20,1316,4,1,1,54000,서울
2018-01-31,3,2037,3,2,1,7800,서울
2018-01-31,41,2110,3,2,1,14800,안산
2018-01-31,3,1857,2,2,3,7800,서울
2018-01-31,25,1541,3,1,5,12900,서울
2018-01-31,15,1146,4,2,7,10500,대전
2018-02-01,12,1703,2,1,1,32000,서울
2018-02-01,10,1858,1,2,1,15000,이천
2018-02-01,39,2052,3,1,1,9900,부산
2018-02-01,41,1054,1,1,10,14800,인천
2018-02-02,17,1942,2,1,1,7900,평택
2018-02-02,14,1494,1,1,1,10000,청주
2018-02-02,8,1938,3,1,1,2000,서울
2018-02-02,25,1402,2,1,3,12900,수원
2018-02-02,6,1269,1,1,15,28000,대구
2018-02-03,39,1842,2,1,1,9900,부산
2018-02-03,41,1421,3,1,6,14800,청주
2018-02-03,1,1173,2,1,15,15000,부산
2018-02-04,26,1531,4,1,1,5200,서울
2018-02-04,37,1964,2,1,1,14800,인천
2018-02-04,25,1966,3,2,1,12900,안성
2018-02-04,25,1912,4,2,1,12900,담양
2018-02-04,21,2163,3,1,5,78900,서울
2018-02-05,19,1768,1,1,1,32000,인천
2018-02-05,12,1887,2,2,6,32000,광주
2018-02-05,25,1710,2,2,1,12900,성남
2018-02-05,2,1693,2,1,5,6500,부산
2018-02-05,41,2044,1,2,4,14800,서울
2018-02-06,41,2075,1,1,1,14800,의왕
2018-02-06,3,1854,3,1,5,7800,대구
2018-02-06,1,1117,2,1,8,15000,인천
2018-02-07,8,1879,2,2,2,2000,부산
2018-02-07,40,1194,1,2,9,35900,대전
2018-02-08,23,1628,4,2,1,43000,인천
2018-02-08,14,1348,3,1,1,10000,대구
2018-02-08,39,2030,3,1,1,9900,수원
2018-02-08,38,1302,2,1,4,52000,파주
2018-02-09,9,1793,1,1,1,25000,서울
2018-02-09,25,1553,3,1,1,12900,성남
2018-02-09,9,1524,4,1,1,25000,대구
2018-02-09,25,1559,4,1,1,12900,안산
2018-02-09,3,1276,1,2,11,7800,서울
2018-02-10,9,1958,4,1,2,25000,서울
2018-02-10,9,1640,4,1,3,25000,성남
2018-02-11,40,1732,1,1,1,35900,군포
2018-02-11,37,1666,4,1,3,14800,인천
2018-02-11,14,1965,1,1,5,10000,서울
2018-02-11,40,1005,1,2,8,35900,용인
2018-02-12,10,2036,2,2,5,15000,평택
2018-02-12,12,1811,2,1,1,32000,안동
2018-02-12,1,1665,1,2,1,15000,부산
2018-02-12,12,1622,3,1,1,32000,성남
2018-02-12,12,2161,3,1,2,32000,안양
2018-02-12,25,1848,3,1,3,12900,인천
2018-02-12,12,1268,2,1,9,32000,부산
2018-02-13,3,1698,2,1,3,7800,부산
2018-02-13,8,1319,3,1,1,2000,창원
2018-02-13,3,1765,4,1,1,7800,수원
2018-02-13,25,1288,1,1,14,12900,서울
2018-02-13,2,1617,1,1,5,6500,광명
2018-02-14,27,1929,3,1,1,12000,부천
2018-02-14,4,1352,1,1,1,20000,수원
2018-02-14,16,1087,1,1,7,50000,서울
2018-02-15,25,1360,2,2,1,12900,하남
2018-02-15,6,2050,1,2,1,28000,대구
2018-02-15,40,1822,3,1,7,35900,수원
2018-02-15,39,1219,1,2,7,9900,부산
2018-02-16,3,1773,1,2,2,7800,서울
2018-02-16,25,1433,2,2,1,12900,인천
2018-02-16,7,1472,1,1,1,22000,부산
2018-02-16,2,1240,4,2,14,6500,안산
2018-02-16,16,1490,2,2,5,50000,인천
2018-02-17,8,1304,2,1,6,2000,서울
2018-02-17,25,2086,4,1,1,12900,용인
2018-02-17,17,2110,2,2,2,7900,안산
2018-02-17,33,1129,4,1,11,21000,동해
2018-02-17,38,1200,4,1,11,52000,청주
2018-02-17,40,1516,3,2,1,35900,대구
2018-02-18,25,1602,1,1,1,12900,대전
2018-02-18,18,1965,2,1,3,500,서울
2018-02-18,8,1136,1,2,15,2000,대전
2018-02-18,16,2059,1,1,5,50000,인천
2018-02-18,12,1145,1,1,8,32000,오산
2018-02-19,16,1858,1,1,1,50000,이천
2018-02-19,2,2097,2,1,1,6500,대구
2018-02-19,38,1638,4,1,1,52000,천안
2018-02-20,4,1387,2,1,3,20000,부산
2018-02-20,16,2095,1,2,3,50000,대전
2018-02-20,11,1062,2,1,8,21500,동두천
2018-02-21,9,1607,3,1,1,25000,서울
2018-02-21,25,1228,2,2,15,12900,서울
2018-02-21,41,1167,2,2,8,14800,군포
2018-02-21,33,1398,3,2,1,21000,부산
2018-02-21,26,1436,2,1,1,5200,서울
2018-02-21,25,1884,2,2,1,12900,대구
2018-02-22,25,2095,1,1,1,12900,대전
2018-02-22,40,2138,1,1,1,35900,양주
2018-02-22,25,1292,3,2,8,12900,서울
2018-02-22,2,1719,1,1,4,6500,세종
2018-02-23,1,1614,2,1,1,15000,서울
2018-02-23,25,1634,1,1,1,12900,구리
2018-02-23,16,1701,1,1,1,50000,서울
2018-02-23,40,1758,1,1,7,35900,인천
2018-02-24,25,1376,1,1,3,12900,구리
2018-02-24,7,1469,1,1,1,22000,서울
2018-02-24,25,1044,4,1,7,12900,양평
2018-02-24,26,1563,2,2,4,5200,서울
2018-02-24,40,1080,1,2,7,35900,오산
2018-02-24,3,1400,2,1,1,7800,서울
2018-02-25,3,1856,4,1,1,7800,세종
2018-02-25,25,1968,2,1,3,12900,인천
2018-02-25,12,1049,4,1,7,32000,태백
2018-02-25,35,1130,1,1,15,11900,서울
2018-02-26,25,1693,2,1,5,12900,부산
2018-02-26,5,1587,3,1,1,7200,오산
2018-02-26,12,1300,3,2,1,32000,군포
2018-02-26,32,1532,2,1,3,9900,서울
2018-02-26,9,1810,3,1,3,25000,서울
2018-02-26,1,1233,4,2,8,15000,창원
2018-02-26,4,1123,1,1,12,20000,서울
2018-02-27,25,2035,2,2,7,12900,수원
2018-02-27,16,2175,2,1,2,50000,서울
2018-02-27,41,1594,1,1,1,14800,서울
2018-02-27,3,1604,3,1,2,7800,연천
2018-02-27,25,1294,3,1,8,12900,부산
2018-02-27,9,1915,2,1,1,25000,과천
2018-02-28,36,1101,2,2,1,33900,남양주
2018-02-28,12,2003,1,1,1,32000,파주
2018-02-28,25,1627,4,2,3,12900,가평
2018-02-28,12,1325,4,1,3,32000,남양주
2018-02-28,25,1517,4,1,3,12900,서울
2018-03-01,33,1902,3,2,1,21000,연천
2018-03-01,41,1603,1,1,1,14800,인천
2018-03-01,33,1815,2,1,2,21000,대전
2018-03-01,12,1117,2,1,13,32000,인천
2018-03-01,9,1251,2,1,8,25000,서울
2018-03-01,16,1023,1,2,8,50000,평택
2018-03-02,41,1637,4,1,1,14800,창원
2018-03-02,11,1874,4,1,1,21500,인천
2018-03-02,16,1921,4,2,3,50000,서울
2018-03-02,29,1985,4,2,5,25000,인천
2018-03-02,5,2074,2,2,5,7200,평택
2018-03-02,35,1176,1,2,12,11900,부천
2018-03-02,27,1135,1,1,13,12000,세종
2018-03-02,11,1859,1,1,6,21500,서울
2018-03-03,1,1255,3,2,11,15000,울산
2018-03-03,12,1739,1,2,1,32000,서울
2018-03-03,7,2087,3,1,1,22000,부산
2018-03-03,7,2159,3,2,1,22000,사천
2018-03-04,33,1165,1,1,9,21000,용인
2018-03-04,12,1183,1,1,13,32000,양주
2018-03-04,18,1102,1,1,1,500,부산
2018-03-05,7,1578,4,2,1,22000,성남
2018-03-05,40,1555,1,1,6,35900,부산
2018-03-05,4,1580,4,1,3,20000,창원
2018-03-05,41,2064,1,2,1,14800,세종
2018-03-05,37,2056,3,1,1,14800,창원
2018-03-06,7,1551,2,1,1,22000,구리
2018-03-06,11,1769,2,2,1,21500,서울
2018-03-06,16,1980,1,2,1,50000,서울
2018-03-06,38,1416,3,1,4,52000,시흥
2018-03-07,7,2076,3,1,4,22000,제주
2018-03-07,11,1575,1,2,2,21500,서울
2018-03-07,1,1396,1,1,2,15000,세종
2018-03-08,11,1398,2,1,3,21500,부산
2018-03-08,11,1671,3,1,1,21500,인천
2018-03-08,27,1121,1,1,15,12000,서울
2018-03-08,12,1977,3,2,1,32000,서울
2018-03-09,16,1154,1,2,15,50000,부산
2018-03-09,10,1481,4,1,1,15000,양산
2018-03-09,37,1399,2,1,1,14800,과천
2018-03-09,2,1605,2,1,1,6500,서울
2018-03-09,27,1709,2,1,2,12000,인천
2018-03-10,3,1951,2,2,1,7800,양주
2018-03-10,19,1403,1,2,1,32000,광명
2018-03-10,26,1607,1,1,1,5200,서울
2018-03-10,37,2165,1,1,1,14800,서울
2018-03-11,7,2012,2,2,3,22000,인천
2018-03-11,16,1415,3,1,1,50000,강릉
2018-03-11,34,2033,4,1,1,9900,서울
2018-03-11,3,1544,3,1,2,7800,평택
2018-03-11,27,1099,1,2,4,12000,양평
2018-03-11,8,1193,1,1,15,2000,인천
2018-03-12,13,1926,3,2,1,3300,부산
2018-03-12,39,1215,1,1,15,9900,의정부
2018-03-12,41,1519,3,1,1,14800,대구
2018-03-12,18,1585,1,2,5,500,화성
2018-03-13,12,1278,3,2,12,32000,용인
2018-03-13,16,1172,1,1,15,50000,부산
2018-03-13,41,1984,3,1,2,14800,의정부
2018-03-13,2,1787,2,1,1,6500,수원
2018-03-13,4,1991,3,2,2,20000,부산
2018-03-13,37,1340,2,1,3,14800,안산
2018-03-14,33,2022,3,1,1,21000,대구
2018-03-14,3,1442,1,2,1,7800,대구
2018-03-14,12,2017,1,1,1,32000,양주
2018-03-14,40,1610,3,2,1,35900,부산
2018-03-14,8,1976,1,1,3,2000,인천
2018-03-15,35,1761,2,2,1,11900,광명
2018-03-15,27,1828,2,1,1,12000,대구
2018-03-16,33,1781,2,1,2,21000,서울
2018-03-16,12,1204,2,2,11,32000,인천
2018-03-17,39,1263,1,1,8,9900,대구
2018-03-17,16,1504,1,1,1,50000,의왕
2018-03-17,40,2045,1,1,2,35900,부산
2018-03-17,1,1514,4,1,5,15000,울산
2018-03-17,3,1637,2,1,4,7800,창원
2018-03-18,8,1259,1,1,8,2000,서울
2018-03-18,37,1361,2,2,1,14800,인천
2018-03-18,40,1888,3,1,1,35900,인천
2018-03-18,16,2148,4,1,2,50000,서울
2018-03-18,12,1352,2,1,5,32000,수원
2018-03-19,41,1213,4,1,12,14800,광명
2018-03-19,40,1590,2,1,1,35900,안산
2018-03-19,20,1501,1,2,1,54000,광주
2018-03-19,3,2170,1,1,1,7800,서울
2018-03-19,4,1410,3,2,1,20000,서울
2018-03-19,18,1305,3,1,2,500,통영
2018-03-19,6,1386,1,2,1,28000,광주
2018-03-19,1,1617,4,2,4,15000,광명
2018-03-20,7,1536,2,1,1,22000,서울
2018-03-20,16,1817,4,2,1,50000,수원
2018-03-20,2,2091,2,1,3,6500,울산
2018-03-20,34,1847,2,1,7,9900,울산
2018-03-20,12,1181,1,1,7,32000,서울
2018-03-21,36,2126,3,1,1,33900,여수
2018-03-21,41,2189,2,1,1,14800,속초
2018-03-21,5,1032,4,1,7,7200,인천
2018-03-21,38,1137,4,2,8,52000,김해
2018-03-21,4,1223,2,1,15,20000,인천
2018-03-21,39,1157,1,1,9,9900,고양
2018-03-22,18,1079,4,2,9,500,광주
2018-03-22,17,1653,1,1,3,7900,세종
2018-03-22,17,1128,1,2,8,7900,인천
2018-03-22,33,1954,1,1,1,21000,고양
2018-03-23,26,1299,2,2,4,5200,홍천
2018-03-23,16,2009,2,1,1,50000,서울
2018-03-23,3,1370,3,1,2,7800,성남
2018-03-23,7,1885,2,1,2,22000,서울
2018-03-23,3,1453,3,2,3,7800,하남
2018-03-24,2,1086,2,1,7,6500,영월
2018-03-24,7,1543,2,1,1,22000,인천
2018-03-24,40,1833,2,1,1,35900,수원
2018-03-24,8,2101,2,1,2,2000,용인
2018-03-25,3,1624,2,2,1,7800,양평
2018-03-25,27,1055,2,2,8,12000,광명
2018-03-25,8,2092,3,1,2,2000,전주
2018-03-25,7,1593,3,1,2,22000,용인
2018-03-26,7,1902,1,1,6,22000,연천
2018-03-26,38,2157,3,1,2,52000,부산
2018-03-26,7,1711,1,2,1,22000,인천
2018-03-26,1,1850,1,2,1,15000,창원
2018-03-26,40,1835,1,1,1,35900,안산
2018-03-27,9,1837,2,2,1,25000,서울
2018-03-27,12,1934,3,1,2,32000,인천
2018-03-27,39,1203,4,2,15,9900,용인
2018-03-27,6,1073,2,1,7,28000,통영
2018-03-27,29,1831,2,2,5,25000,서울
2018-03-28,13,1665,1,2,1,3300,부산
2018-03-28,14,2042,1,2,1,10000,서울
2018-03-28,12,1890,2,2,2,32000,성남
2018-03-28,36,1926,2,2,2,33900,부산
2018-03-28,3,1534,3,1,5,7800,용인
2018-03-28,13,1526,3,1,4,3300,부산
2018-03-28,27,1007,4,2,7,12000,대구
2018-03-29,39,1816,1,2,1,9900,남양주
2018-03-29,2,2106,3,2,1,6500,부산
2018-03-29,9,1375,4,2,1,25000,인천
2018-03-29,29,1373,4,2,3,25000,대구
2018-03-29,30,1148,1,1,14,21400,서울
2018-03-29,40,1430,1,1,5,35900,서울
2018-03-29,40,1182,1,2,8,35900,성남
2018-03-30,8,2108,3,2,1,2000,가평
2018-03-30,37,1467,1,1,1,14800,인천
2018-03-30,9,1109,2,1,2,25000,아산
2018-03-30,5,1042,4,1,8,7200,서울
2018-03-30,26,1008,2,1,7,5200,양평
2018-03-30,8,1150,1,1,8,2000,인천
2018-03-31,8,1195,1,1,15,2000,서울
2018-03-31,14,1999,3,2,2,10000,의왕
2018-03-31,40,1285,2,1,11,35900,가평
2018-03-31,23,1470,1,1,1,43000,부산
2018-03-31,14,1312,3,1,1,10000,시흥
2018-04-01,6,1340,1,1,1,28000,안산
2018-04-01,14,1763,1,1,2,10000,상주
2018-04-01,32,1531,4,2,7,9900,서울
2018-04-01,4,1178,1,2,9,20000,대전
2018-04-02,41,1760,1,1,1,14800,경주
2018-04-02,41,1896,2,1,1,14800,서울
2018-04-02,14,1598,2,1,1,10000,구리
2018-04-02,18,2016,2,2,1,500,성남
2018-04-02,8,1385,1,1,2,2000,진주
2018-04-02,14,1313,3,2,3,10000,오산
2018-04-02,41,1914,1,1,3,14800,대구
2018-04-03,8,1057,1,2,8,2000,부산
2018-04-03,3,1356,4,1,1,7800,의왕
2018-04-03,40,1116,4,1,8,35900,서울
2018-04-03,2,1029,2,1,7,6500,인천
2018-04-03,8,1946,2,2,1,2000,화성
2018-04-04,19,1429,1,1,1,32000,서울
2018-04-04,1,1762,4,1,1,15000,용인
2018-04-04,41,1766,4,2,5,14800,대전
2018-04-04,26,1296,2,2,11,5200,서울
2018-04-05,40,1782,1,1,1,35900,서울
2018-04-05,41,1867,2,2,1,14800,진주
2018-04-05,14,1712,1,1,1,10000,부산
2018-04-06,40,1661,2,2,1,35900,고양
2018-04-06,26,1572,3,1,1,5200,광명
2018-04-06,15,1770,4,1,2,10500,안양
2018-04-06,31,1518,3,1,1,8000,부산
2018-04-07,7,2134,1,1,5,22000,서울
2018-04-07,16,1600,1,1,1,50000,인천
2018-04-07,40,1507,2,2,2,35900,고양
2018-04-07,16,2102,2,1,4,50000,대구
2018-04-08,13,1817,2,1,1,3300,수원
2018-04-08,12,1321,2,2,1,32000,서울
2018-04-08,4,1818,2,1,2,20000,오산
2018-04-08,3,1716,2,2,3,7800,서울
2018-04-08,16,1055,4,1,7,50000,광명
2018-04-08,39,1241,1,2,9,9900,청주
2018-04-09,40,1780,4,1,4,35900,용인
2018-04-09,3,2177,3,2,1,7800,춘천
2018-04-09,2,1931,4,2,5,6500,대전
2018-04-09,8,1295,2,1,7,2000,충주
2018-04-09,20,1202,1,1,11,54000,옥천
2018-04-09,27,1097,1,1,4,12000,시흥
2018-04-10,33,1981,4,1,1,21000,수원
2018-04-10,8,2054,4,1,1,2000,안산
2018-04-10,7,1625,4,1,6,22000,서울
2018-04-10,8,1186,2,1,8,2000,서울
2018-04-10,39,1030,1,1,10,9900,대구
2018-04-11,3,2171,2,1,1,7800,포항
2018-04-11,1,1508,3,1,1,15000,파주
2018-04-11,10,1843,4,1,2,15000,제주
2018-04-11,38,1324,3,1,4,52000,수원
2018-04-11,34,1418,4,1,4,9900,서울
2018-04-12,37,1468,2,1,1,14800,영주
2018-04-12,8,2035,2,1,1,2000,수원
2018-04-12,3,1542,1,1,1,7800,인천
2018-04-12,12,1894,3,1,4,32000,서울
2018-04-12,15,1456,2,2,5,10500,서울
2018-04-12,40,1395,1,1,5,35900,부천
2018-04-12,12,1199,1,1,15,32000,동두천
2018-04-13,16,1041,2,2,9,50000,창원
2018-04-13,26,1594,2,1,1,5200,서울
2018-04-13,3,1697,1,1,1,7800,동두천
2018-04-13,27,1713,1,1,1,12000,성남
2018-04-14,30,1315,3,1,7,21400,광명
2018-04-14,19,1522,2,2,4,32000,평택
2018-04-14,15,1459,1,1,5,10500,서울
2018-04-14,3,1364,4,1,1,7800,인천
2018-04-14,9,2113,3,1,1,25000,김포
2018-04-14,41,1832,1,1,2,14800,인천
2018-04-14,7,1841,2,2,3,22000,서울
2018-04-15,7,1898,1,1,1,22000,시흥
2018-04-15,8,1738,1,2,1,2000,밀양
2018-04-15,37,1378,1,1,1,14800,서울
2018-04-15,41,1003,1,1,7,14800,서울
2018-04-16,20,1684,2,1,1,54000,성남
2018-04-16,41,1462,4,1,1,14800,창원
2018-04-16,26,1675,3,1,5,5200,안산
2018-04-16,2,1586,2,1,1,6500,의왕
2018-04-17,41,1423,1,2,7,14800,대구
2018-04-17,26,1485,1,2,1,5200,서울
2018-04-17,3,1322,3,1,1,7800,서울
2018-04-17,6,1904,3,1,1,28000,대구
2018-04-17,26,1480,2,1,3,5200,동두천
2018-04-18,41,2176,1,2,5,14800,제천
2018-04-18,2,1759,1,1,1,6500,서울
2018-04-18,20,1473,4,2,1,54000,성남
2018-04-18,6,1209,1,2,11,28000,서울
2018-04-19,40,1347,2,1,5,35900,대전
2018-04-19,9,1636,4,2,5,25000,화성
2018-04-19,9,1075,2,1,10,25000,부산
2018-04-19,16,1198,2,2,8,50000,부산
2018-04-19,1,1777,2,2,1,15000,성남
2018-04-20,29,1379,2,1,1,25000,대전
2018-04-20,3,1978,2,1,1,7800,의왕
2018-04-20,3,2025,1,1,1,7800,밀양
2018-04-20,20,1082,1,2,7,54000,대전
2018-04-20,12,1253,1,1,9,32000,서울
2018-04-21,5,2089,2,1,5,7200,인천
2018-04-21,34,2173,2,1,1,9900,인천
2018-04-21,40,1816,3,1,1,35900,남양주
2018-04-21,33,1909,3,1,1,21000,대전
2018-04-22,7,2160,3,1,1,22000,안성
2018-04-22,19,1254,2,1,8,32000,하남
2018-04-22,3,2057,3,1,1,7800,서울
2018-04-22,8,1875,2,2,5,2000,서울
2018-04-23,2,1649,3,1,6,6500,인천
2018-04-23,12,1771,2,2,1,32000,과천
2018-04-23,9,1983,3,1,1,25000,성남
2018-04-23,1,1012,2,2,8,15000,서울
2018-04-24,13,1678,1,1,1,3300,여주
2018-04-24,39,1780,1,1,1,9900,용인
2018-04-24,15,1663,4,2,4,10500,하남
2018-04-24,16,1051,2,2,7,50000,청주
2018-04-25,3,1538,3,2,1,7800,서울
2018-04-25,16,1786,1,2,1,50000,김포
2018-04-25,3,1634,1,1,1,7800,구리
2018-04-25,7,1710,2,1,4,22000,성남
2018-04-25,3,1756,1,2,7,7800,고양
2018-04-26,30,1342,2,2,7,21400,대구
2018-04-26,7,1550,1,2,1,22000,안산
2018-04-26,9,1810,3,1,1,25000,서울
2018-04-26,7,1931,4,1,1,22000,대전
2018-04-26,3,1271,4,1,8,7800,광주
2018-04-26,27,1021,2,2,10,12000,서울
2018-04-26,26,1645,1,1,1,5200,서울
2018-04-26,41,1231,1,1,15,14800,울산
2018-04-27,2,2060,3,2,1,6500,부산
2018-04-27,9,2078,1,1,2,25000,수원
2018-04-27,18,1122,1,1,9,500,인천
2018-04-27,37,1090,1,1,8,14800,성남
2018-04-28,33,1679,2,2,1,21000,인천
2018-04-28,40,1695,2,1,1,35900,서울
2018-04-28,3,1652,3,2,1,7800,이천
2018-04-28,37,1961,2,1,2,14800,김천
2018-04-28,8,1896,2,1,3,2000,서울
2018-04-28,2,2079,1,1,5,6500,여주
2018-04-29,3,1959,1,2,1,7800,부산
2018-04-29,33,1412,3,1,1,21000,서울
2018-04-29,12,1827,4,2,1,32000,창원
2018-04-29,27,1065,1,2,10,12000,서울
2018-04-29,12,1197,1,1,9,32000,부산
2018-04-30,7,1897,3,2,3,22000,안양
2018-04-30,41,1511,2,2,4,14800,인제
2018-04-30,39,1163,1,1,11,9900,대전
2018-05-01,23,1282,1,2,9,43000,서울
2018-05-01,32,1566,3,2,1,9900,서울
2018-05-01,7,1580,3,1,3,22000,창원
2018-05-01,8,1289,2,2,11,2000,제주
2018-05-01,35,1335,1,1,4,11900,수원
2018-05-02,23,1372,2,2,4,43000,여주
2018-05-02,41,2070,4,1,1,14800,세종
2018-05-02,16,2131,4,2,1,50000,수원
2018-05-02,12,1807,1,2,3,32000,대전
2018-05-03,7,1495,4,1,1,22000,여주
2018-05-03,8,1803,1,1,1,2000,대전
2018-05-03,40,1549,3,1,1,35900,대전
2018-05-03,8,1761,4,1,1,2000,광명
2018-05-04,12,2116,2,1,2,32000,인천
2018-05-04,7,1823,2,2,4,22000,울산
2018-05-04,40,1122,1,1,15,35900,인천
2018-05-04,12,1224,1,1,15,32000,안산
2018-05-05,8,2175,4,1,1,2000,서울
2018-05-05,3,1367,1,2,1,7800,충주
2018-05-05,7,1855,3,1,1,22000,동두천
2018-05-05,30,2183,1,1,2,21400,서울
